============ Buscando Raiz de T0.1 ==============

          a |           b |           x |                f(x) |            e |

    1.000000      1.500000      1.250000  0.03153233451754875   1e-08
    1.000000      1.250000      1.125000  0.004669367363301119          1e-08
    1.000000      1.125000      1.062500  -0.007850707453185085         1e-08
    1.062500      1.125000      1.093750  -0.0016717239488042435        1e-08
    1.093750      1.125000      1.109375  0.0014789354644196562         1e-08
    1.093750      1.109375      1.101562  -0.00010141319624193401       1e-08
    1.101562      1.109375      1.105469  0.0006875123057131505         1e-08
    1.101562      1.105469      1.103516  0.00029273660796932943        1e-08
    1.101562      1.103516      1.102539  9.558337679124729e-05         1e-08
    1.101562      1.102539      1.102051  -2.9345035360839322e-06       1e-08
    1.102051      1.102539      1.102295  4.631953961761748e-05         1e-08
    1.102051      1.102295      1.102173  2.169129360793387e-05         1e-08
    1.102051      1.102173      1.102112  9.378088905082071e-06         1e-08
    1.102051      1.102112      1.102081  3.221716149054421e-06         1e-08
    1.102051      1.102081      1.102066  1.435871722355042e-07         1e-08
    1.102051      1.102066      1.102058  -1.395462965431138e-06        1e-08
    1.102058      1.102066      1.102062  -6.259390924745478e-07        1e-08
    1.102062      1.102066      1.102064  -2.4117625910258234e-07       1e-08
    1.102064      1.102066      1.102065  -4.879461826257092e-08        1e-08
    1.102065      1.102066      1.102066  4.7396258445742134e-08        1e-08
    1.102065      1.102066      1.102065  -6.991846268622481e-10        1e-08

          a |           b |           x |                f(x) |            e |

============ Buscando Raiz de T0.9 ==============

          a |           b |           x |                f(x) |            e |

    5.000000      5.500000      5.250000  -0.005114352933602073         1e-08
    5.250000      5.500000      5.375000  0.0035828248057335754         1e-08
    5.250000      5.375000      5.312500  -0.0006810443866535065        1e-08
    5.312500      5.375000      5.343750  0.0014717333798369703         1e-08
    5.312500      5.343750      5.328125  0.00040059716535367773        1e-08
    5.312500      5.328125      5.320312  -0.00013890518965764542       1e-08
    5.320312      5.328125      5.324219  0.0001311749355181746         1e-08
    5.320312      5.324219      5.322266  -3.7828080080570814e-06       1e-08
    5.322266      5.324219      5.323242  6.371663324911125e-05         1e-08
    5.322266      5.323242      5.322754  2.997205627774946e-05         1e-08
    5.322266      5.322754      5.322510  1.309591020970391e-05         1e-08
    5.322266      5.322510      5.322388  4.656872639619003e-06         1e-08
    5.322266      5.322388      5.322327  4.371127029223487e-07         1e-08
    5.322266      5.322327      5.322296  -1.672827555476708e-06        1e-08
    5.322296      5.322327      5.322311  -6.178524020183929e-07        1e-08
    5.322311      5.322327      5.322319  -9.036859349720316e-08        1e-08
    5.322319      5.322327      5.322323  1.7337236879466644e-07        1e-08
    5.322319      5.322323      5.322321  4.150196619701063e-08         1e-08
    5.322319      5.322321      5.322320  -2.4433294054659882e-08       1e-08
    5.322320      5.322321      5.322320  8.534341011667834e-09         1e-08

          a |           b |           x |                f(x) |            e |

============ Resultados ==============

T01 = 1.1020653247833252         g(T01) = -6.991846268622481e-10
T09 = 5.322320461273193          g(T09) = 8.534341011667834e-09
Tempo de Subida: 4.22026
