============ Buscando Raiz ==============

          a |           b |           x |                f(x) |            e |

    1.000000      2.000000      1.500000  2.375         1e-08
    1.000000      1.500000      1.250000  -1.796875     1e-08
    1.250000      1.500000      1.375000  0.162109375   1e-08
    1.250000      1.375000      1.312500  -0.848388671875       1e-08
    1.312500      1.375000      1.343750  -0.350982666015625    1e-08
    1.343750      1.375000      1.359375  -0.09640884399414062          1e-08
    1.359375      1.375000      1.367188  0.03235578536987305   1e-08
    1.359375      1.367188      1.363281  -0.03214997053146362          1e-08
    1.363281      1.367188      1.365234  7.202476263046265e-05         1e-08
    1.363281      1.365234      1.364258  -0.01604669075459242          1e-08
    1.364258      1.365234      1.364746  -0.007989262812770903         1e-08
    1.364746      1.365234      1.364990  -0.003959101522923447         1e-08
    1.364990      1.365234      1.365112  -0.0019436590100667672        1e-08
    1.365112      1.365234      1.365173  -0.000935847281880342         1e-08
    1.365173      1.365234      1.365204  -0.00043191879925075227       1e-08
    1.365204      1.365234      1.365219  -0.0001799489032272561        1e-08
    1.365219      1.365234      1.365227  -5.3962541528562724e-05       1e-08
    1.365227      1.365234      1.365231  9.030992742964372e-06         1e-08
    1.365227      1.365231      1.365229  -2.2465803844795573e-05       1e-08
    1.365229      1.365231      1.365230  -6.7174129139147e-06          1e-08
    1.365230      1.365231      1.365230  1.1567880733309721e-06        1e-08
    1.365230      1.365230      1.365230  -2.780312879480107e-06        1e-08
    1.365230      1.365230      1.365230  -8.117625185377619e-07        1e-08
    1.365230      1.365230      1.365230  1.7251274897489566e-07        1e-08
    1.365230      1.365230      1.365230  -3.196248918868605e-07        1e-08
    1.365230      1.365230      1.365230  -7.355607323233926e-08        1e-08
    1.365230      1.365230      1.365230  4.94783378712782e-08          1e-08
    1.365230      1.365230      1.365230  -1.203886768053053e-08        1e-08
    1.365230      1.365230      1.365230  1.8719735095373835e-08        1e-08
    1.365230      1.365230      1.365230  3.340433707421653e-09         1e-08

          a |           b |           x |                f(x) |            e |

============ Resultados Aproximados ==============

Valor: 1.36523
f(x) = 0.0
