============ Buscando Raiz ==============

          a |           b |           x |                f(x) |            e |

    1.000000      2.000000      1.263158  -1.602274384020994    1e-08
    1.263158      2.000000      1.457064  1.585535405320602     1e-08
    1.263158      1.457064      1.283071  -1.3026318359836129   1e-08
    1.283071      1.457064      1.370524  0.087651856741644     1e-08
    1.283071      1.370524      1.322514  -0.6906850642501929   1e-08
    1.322514      1.370524      1.367497  0.037483326356760216          1e-08
    1.322514      1.367497      1.362432  -0.04614711397855942          1e-08
    1.362432      1.367497      1.367237  0.033168205447031696          1e-08
    1.362432      1.367237      1.365083  -0.0024272959001532257        1e-08
    1.365083      1.367237      1.366336  0.018273683683617037          1e-08
    1.365083      1.366336      1.365168  -0.0010164813301063447        1e-08
    1.365168      1.366336      1.365305  0.0012442468898470338         1e-08
    1.365168      1.365305      1.365176  -0.0008973614613339009        1e-08
    1.365176      1.365305      1.365234  6.552682899929607e-05         1e-08
    1.365176      1.365234      1.365200  -0.0004939055765191824        1e-08
    1.365200      1.365234      1.365232  2.745553936911449e-05         1e-08
    1.365200      1.365232      1.365228  -3.3612799194671084e-05       1e-08
    1.365228      1.365232      1.365231  2.423959747943627e-05         1e-08
    1.365228      1.365231      1.365230  -1.7701203773867746e-06       1e-08
    1.365230      1.365231      1.365231  1.3341771101238464e-05        1e-08
    1.365230      1.365231      1.365230  -7.416641665258794e-07        1e-08
    1.365230      1.365231      1.365230  9.079881344575824e-07         1e-08
    1.365230      1.365230      1.365230  -6.54789911180842e-07         1e-08
    1.365230      1.365230      1.365230  4.781659868058341e-08         1e-08
    1.365230      1.365230      1.365230  -3.604041243221445e-07        1e-08
    1.365230      1.365230      1.365230  2.0034724101947177e-08        1e-08
    1.365230      1.365230      1.365230  -2.452766878491275e-08        1e-08
    1.365230      1.365230      1.365230  1.7687977305058666e-08        1e-08
    1.365230      1.365230      1.365230  -1.2916760994130527e-09       1e-08

          a |           b |           x |                f(x) |            e |

============ Resultados Aproximados ==============

Valor: 1.36523
f(x) = -0.0
